Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дигитален маркетинг е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 17:25:06,Growth Hacking,"Adobe Illustrator, Buffer","во домашна компанија, remote за домашна компанија",Middle,25000,11 - 100,Mac,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,Можеби е добро да има опција за студенти кои што се во тек на барање работа.. но не сум сигурна :))
2/6/2019 17:27:29,Маркетинг на мобилни апликации,"MixPanel, AppsFlyer, Braze",во претставништво на странска компанија во Македонија,Junior,24000,11 - 100,Mac,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,18-24,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/6/2019 17:28:53,SEO специјалист,ubersuggest,во домашна компанија,Senior,24000,1-10,Dual-boot,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки",Лоша интерна организација,"Наоѓам друга работа, па тогаш давам отказ",Да,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 18:04:52,Пишување на содржина за дигитални платформи,"Google Drive, Google Docs, Grammarly",remote за странска компанија,Junior,50000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време",Недостаток на тимска работа,Не би ја препорачал компанијата на други,Да,Социјални медиуми,Женски,18-24,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/6/2019 18:12:24,Пишување на содржина за дигитални платформи,Google Docs,фриленс,Junior,60000,Само јас,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Upwork,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,/
2/6/2019 19:58:00,Консултант за дигитален маркетинг,Canva,во домашна компанија,Middle,24000,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Локација на работното место, Стабилност на компанијата",Неточен краен рок,Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 20:01:44,Analytics и PPC специјалист,Google analytics,remote за странска компанија,Junior,60000,1-10,Mac,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work), Флексибилност во работното време",Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 20:09:52,Менаџер за дигитален маркетинг,Mail chimp ,во домашна компанија,Middle,20000,25,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата",Лошо дефинирани работни обврски,Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,18-24,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/6/2019 20:28:05,Менаџер за дигитален маркетинг,In hoise software,"во домашна компанија, во претставништво на странска компанија во Македонија",Senior,120000,1-10,Windows,Немање доволно информации за компанијата,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени постдипломски студии,Se od gore navedenoto,5-10 години,
2/6/2019 20:40:00,Analytics и PPC специјалист,google adwords,во претставништво на странска компанија во Македонија,Senior,30000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата","Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/6/2019 20:41:34,Менаџер за дигитален маркетинг,Facebook,во домашна компанија,Практикант,6000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 23:08:08,Менаџер за дигитален маркетинг,Adobe,"во домашна компанија, во претставништво на странска компанија во Македонија, фриленс, remote за странска компанија, remote за домашна компанија, Во странство",Senior,30000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/7/2019 8:39:00,Growth Hacking,"buffer, ga, pulse",во домашна компанија,Senior,33000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Женски,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/7/2019 9:12:33,"Друштвени медиуми - менаџирање, содржина...",Facebook Business Manager,во претставништво на странска компанија во Македонија,Middle,24697,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата, Тренинзи и обуки","Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Да,Се информирам преку познаници,Женски,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/7/2019 9:16:14,Менаџер за дигитален маркетинг,"Quuu, Hootsuite, Tweetdeck, RitePush, Buffer,Inoreader, Feedly",remote за странска компанија,Middle,18,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата",Плата и бонуси,Лоша интерна организација,"Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 9:38:59,Менаџер за дигитален маркетинг,Monday.com,во домашна компанија,Middle,12000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,25-34,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 11:54:10,Менаџер за дигитален маркетинг,"Google Adwords, Facebook, Analytics Adobe Creative Suite","во претставништво на странска компанија во Македонија, фриленс",Middle,50000,11 - 100,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Nespremnost na regruterot za realnite ocekuvanja koi se nalagaat od pozicijata.","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Несоодветен менаџмент за проектите, Stara skola menadzeri na progresivni proekti",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,Ve molam za kriticki osvrt na proektot na vrabotuvanje.com za istrazuvanje na platite vo Makedonija.
2/7/2019 12:04:49,Менаџер за дигитален маркетинг,Facebook,во домашна компанија,Senior,40000,1-10,Mac,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Не барам,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/7/2019 12:24:26,Менаџер за дигитален маркетинг,?,во домашна компанија,Senior,30000,1-10,Mac,Немање доволно информации за компанијата,"Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,работа,11-15 години,
2/7/2019 13:06:17,Консултант за дигитален маркетинг,Facebook,во домашна компанија,Senior,50000,1-10,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 13:43:37,Пишување на содржина за дигитални платформи,https://ahrefs.com/,во домашна компанија,Middle,24000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 14:59:03,Е-маркетинг специјалист,Google Analysis ,во претставништво на странска компанија во Македонија,Junior,18000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 15:03:58,Консултант за дигитален маркетинг,"gramblr, clickup ",во домашна компанија,Lead,15000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 16:15:21,Менаџер за дигитален маркетинг,WordPress,во домашна компанија,Middle,18,14,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите, Нереални очекувања од претпоставените ","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,18-24,Завршени дипломски студии,"Волонтирање, самоиницијативно учење и обука во локални специјализирани центри",помалку од 5,
2/7/2019 17:05:17,Business development,e-mail,во домашна компанија,единствена сум што ја работам оваа рбаота во компанијата,18000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Нејасно дефинирани работни задачи","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 17:49:49,Менаџер за дигитален маркетинг,Facebook,во домашна компанија,Middle,24000,1-10,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Работам со минимално вложување на труд,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 19:39:25,Е-маркетинг специјалист,"Wordpress, Rebrandly, Mailchimp, Google Analytics, Illustrator",во домашна компанија,Junior,15000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа",Ниту едно од наведените,Да,Други македонски портали за огласи,Женски,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 20:07:54,Менаџер за дигитален маркетинг,Facebook,Јавен сектор ,Middle,36000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/7/2019 20:57:41,Се,Зависи од потребата,во домашна компанија,Немаме такви титули,41000,Тим од 2,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 21:01:37,Е-маркетинг специјалист,Outlook email,во домашна компанија,Junior,25000,1000+,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Локација на работното место","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/7/2019 22:16:16,Analytics и PPC специјалист,AdWords and analytics,"во домашна компанија, фриленс",Middle,30000,11 - 100,Windows,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси",Ништо,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/7/2019 23:09:50,контент менаџер,"WordPress, Mailchimp, Carma, BizWizard",во претставништво на странска компанија во Македонија,Senior,28,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,Одлична иницијатива
2/8/2019 2:32:46,Менаџер за дигитален маркетинг,SEOMOz,во претставништво на странска компанија во Македонија,Senior,32000,1-10,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Локација на работното место, Профилот и искуството на другите вработени во тимот","Неточен краен рок, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,samostojni izvori tutoriali i iskustvo od rabota,5-10 години,
2/8/2019 9:10:22,Е-маркетинг специјалист,"Microsoft Office Word, Excel",во домашна компанија,Junior,17,"Мојот тим брои 3 луѓе - маркетинг сектор, додека компанијата број 120 вработени",Windows,"Долг и бавен процес на интервјуирање, Компаниите бавно одговараат на маилови испратени како апликација за работна позиција (се случува да поминат 2-3 месеци за повикување на интерјву, тест или едноставно одговор дека си примен/не си примен на работа)","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Флексибилност во работното време","Лошо напишана документација, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/8/2019 11:56:45,Менаџер за дигитален маркетинг,"Google Ads, Facebook Business Manager, Google Analytics, Linkedin Ads, Twitter Ads, App Nexus. ",во претставништво на странска компанија во Македонија,Senior,25000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Неточен краен рок, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/8/2019 12:03:17,Менаџер за дигитален маркетинг,n/a,Во странство,Senior,45000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,LinkedIn,Машки,25-34,Завршени постдипломски студии,Znaenjeto mi e steknato niz rabotniot proces,5-10 години,
2/8/2019 12:54:05,дигитален маркетер,Google Analytics,во домашна компанија,Junior,18000,Само јас,Windows,Нетранспарентност во процесот на одредување на платата,"Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски",Не би ја препорачал компанијата на други,Да,се од горенаведените,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/8/2019 13:34:33,"Друштвени медиуми - менаџирање, содржина...",Microsoft Office,во претставништво на странска компанија во Македонија,Middle,35000,11 - 100,Windows,Недоволно информации за работната позиција,"Плата и бонуси, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/8/2019 14:10:07,Менаџер за дигитален маркетинг,Facebook Business Manager,во домашна компанија,Middle,24,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Средно образование,"Знаење преку искуство на работното место, како и од другите вработени.",5-10 години,
2/8/2019 16:02:20,Генерација на лидови,"simmilarweb, alexa",во претставништво на странска компанија во Македонија,Middle,16000,1-10,Linux,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/8/2019 19:50:14,"Друштвени медиуми - менаџирање, содржина...",Facebook ,во домашна компанија,Junior,20000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",LinkedIn,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/9/2019 8:57:56,Менаџер за дигитален маркетинг,Повеќе,во домашна компанија,Senior,90000,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Плата и бонуси, Компаниската култура, Стабилност на компанијата",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Доктор на науки,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
