Timestamp,Се декларирам како:,Која алатка ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Првиот чекор при дизајн (prototyping/wireframing) ми започнува со:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дизајн е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 18:35:34,Графички дизајнер,Illustrator,фриленс,Middle,12000,Само јас,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Недостаток на фидбек во случај кога не те сметаат за соодветен за позицијата. Би сакале да знаеме зошто, нели? ","Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Разговор со колеги, дали некој друг се соочува со иста ситуација","Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,Дали резултатите би биле јавно споделени? 
2/6/2019 18:51:07,Арт или креативен директор,Illustrator,фриленс,Lead,25000,Само јас,Windows,Illustrator,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,Не и не планирам,Се информирам преку познаници,Машки,45-54,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",повеќе од 20 години,
2/6/2019 19:09:31,Графички дизајнер,Adobe XD,"во претставништво на странска компанија во Македонија, фриленс, remote за странска компанија",Senior,30,11 - 100,Windows,Adobe XD,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 19:28:59,Графички дизајнер,Illustrator,Во своја и remote за домашна компанија,Senior,50000,11 - 100,Windows,Лист и хартија,Недоволно информации за работната позиција,Компаниската култура,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/6/2019 19:50:39,Арт или креативен директор,"Ps, Ai, InD.. треба да може повеќе одговори да се селектираат","фриленс, remote за домашна компанија",Senior,700,Само јас,Windows,research,"Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 19:52:08,Графички дизајнер,Photoshop,во домашна компанија,Практикант,4000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Флексибилност во работното време",Лошо дефинирани работни обврски,Не би ја препорачал компанијата на други,Да,Социјални медиуми,Машки,18-24,Уште студирам дипломски,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,Заборавивте да проверите дали сум робот. JK супер сте!
2/6/2019 20:39:04,UX дизајнер,Adobe XD,во претставништво на странска компанија во Македонија,Lead,200000,11 - 100,Windows,Adobe XD,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Неточен краен рок, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа",Не и не планирам,Веб страните на компаниите,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 21:20:35,Графички дизајнер,Photoshop,фриленс,Senior,30000,Само јас,Windows,Photoshop,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 21:50:24,UX дизајнер,Sketch,во претставништво на странска компанија во Македонија,Lead,58000,11 - 100,Mac,Лист и хартија,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 22:27:42,Веб дизајнер,Sketch,во домашна компанија,Senior,58000,11 - 100,Mac,Sketch,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лошо напишана документација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 23:06:10,UX дизајнер,"Balsamiq, Axure, Sketch",во претставништво на странска компанија во Македонија,Senior,100,101 - 500,Mac,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work)","Сѐ е со највисок приоритет (притисок при работа), Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Веб страните на компаниите,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 23:06:20,Веб дизајнер,Illustrator,"во домашна компанија, во претставништво на странска компанија во Македонија, фриленс, remote за странска компанија, remote за домашна компанија",Senior,30000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 0:10:31,Графички дизајнер,InDesign,фриленс,Junior,25000,Само јас,Windows,Illustrator,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",www.upwork.com,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/7/2019 0:28:36,Графички дизајнер,Illustrator,во домашна компанија,Senior,30000,Само јас,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата",Добар баланс помеѓу работата и приватниот живот,"Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,11-15 години,
2/7/2019 5:26:48,Графички дизајнер,Illustrator,Во странство,Senior,50000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа","Давам отказ, па тогаш барам нова работа",Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,5-10 години,"Idete si od Makedonija shto prije...
Osven ako ne ste SDSM-VMRO...
U toj slucaj i pravnuci da si docekate tamu... "
2/7/2019 7:06:58,3D Artist,3ds Max,во домашна компанија,Senior,42000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време","Лошо напишана документација, Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 9:11:41,Графички дизајнер,3ds Max,во домашна компанија,Senior,42000,1-10,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,35-44,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/7/2019 9:30:36,Арт или креативен директор,Illustrator,во домашна компанија,Senior,50000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 9:45:05,Веб дизајнер,Illustrator,фриленс,Middle,50000,Само јас,Mac,Лист и хартија,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Upwork,Машки,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/7/2019 9:52:40,Веб дизајнер,Adobe XD,во домашна компанија,Lead,55000,11 - 100,Windows,Лист и хартија,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 9:56:18,Продукт дизајнер,Figma,во претставништво на странска компанија во Македонија,Практикант,4000,101 - 500,Mac,Figma,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Технологијата и алатките кои ми ги обезбедува компанијата","Неточен краен рок, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Женски,18-24,Завршени дипломски студии,Пракса во компанија или печатница,помалку од 5,
2/7/2019 10:11:28,UI/UX designer,Photoshop,"во домашна компанија, фриленс",Senior,80000,1-10,Windows,Balsamiq,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 10:13:12,Продукт дизајнер,3ds Max,"во домашна компанија, фриленс",Middle,24460,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Не би ја препорачал компанијата на други,Да,IT.mk и IT.mk/Kariera,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 11:47:21,фотограф,Photoshop,"во домашна компанија, фриленс",Senior,15000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место",невреднување на трудот,"Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,странство,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 12:08:22,UX дизајнер,Illustrator,во претставништво на странска компанија во Македонија,Middle,60000,501 - 1000,Mac,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Компаниската култура, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/7/2019 12:09:45,Графички дизајнер,Illustrator,"во претставништво на странска компанија во Македонија, фриленс",Senior,42000,11 - 100,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",IT.mk и IT.mk/Kariera,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/7/2019 12:11:28,Графички дизајнер,Illustrator,во претставништво на странска компанија во Македонија,Senior,40000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата, Огласи пишувани од човек кој нема општо познавање од потребните информации за позицијата, како и оглас за 3 работни места во едно, пример: https://www.facebook.com/newmoment/posts/10156234601063845","Плата и бонуси, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки, Да не бара ''газдулето'' да го селиш, да му шеташ куче, да му переш кола.","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите, Толеранција на секаков однос на клиенти кон вработени.",Зборувам со менаџерот/претпоставениот,Да,"LinkedIn + социјални мрежи, најголем успех до работа во МК исклучиво преку познаници.",Машки,25-34,Завршени постдипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,"Рекламирајте го ИТ-кариера повеќе, се почесто среќавам членови на форум.ит.мк кои воопшто не знаат дека постои."
2/7/2019 12:35:10,Графички дизајнер,Illustrator,во домашна компанија,Middle,20000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,Интересни проблеми за решавање/проектот на кој ќе работам,Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/7/2019 12:47:43,Графички дизајнер,"Illustrator, Indesign, Photoshop","во домашна компанија, фриленс, remote за домашна компанија",Lead,36,Само јас,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,Под 18,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/7/2019 13:19:04,Графички дизајнер,InDesign,Во странство,Практикант,36000,1-10,Mac,Лист и хартија,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Женски,18-24,Завршени постдипломски студии,Дипломските и додипломските студии,помалку од 5,
2/7/2019 13:31:24,Графички дизајнер,Photoshop,"во домашна компанија, фриленс",Middle,20000,11 - 100,Mac,Лист и хартија,Недоволно информации за работната позиција,"Можност за учење и развој, Флексибилност во работното време",Лоша интерна организација,Работам со минимално вложување на труд,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 13:54:22,UX дизајнер,Sketch,во претставништво на странска компанија во Македонија,Senior,80000,501 - 1000,Mac,Sketch,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 14:00:58,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Senior,60000,11 - 100,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,Пракса во компанија или печатница,11-15 години,
2/7/2019 14:04:02,Графички дизајнер,Illustrator,во претставништво на странска компанија во Македонија,Senior,24000,11 - 100,Mac,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Уште студирам дипломски,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 14:27:33,Графички дизајнер,Sketch,remote за странска компанија,Senior,90000,11 - 100,Mac,Sketch,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/7/2019 14:58:42,Imam iskustvo i kako graficki i kako product dizajner. ,"Invision, Fullstory, Livechat",во претставништво на странска компанија во Македонија,Middle,52,101 - 500,Mac,Лист и хартија,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,35-44,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
